language,speaker_name,speaker_url,birth_place,native_language,other_languages,age_sex,sex,age_onset,learning_method,english_residence,length_residence,mp3_url,mp3_file
english,"english584,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2197,"monterey, california, usa (map)",english (eng),none,"27, male",male,0,naturalistic,usa,27 years,https://accent.gmu.edu/soundtracks/english584.mp3,source/english584__2197.mp3
english,"english200,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=667,"berkeley, california, usa (map)",english (eng),spanish,"22, female",female,0,naturalistic,usa,22 years,https://accent.gmu.edu/soundtracks/english200.mp3,source/english200__667.mp3
