language,speaker_name,speaker_url,birth_place,native_language,other_languages,age_sex,age_onset,learning_method,english_residence,length_residence,mp3_url,mp3_file
hindi,"hindi7,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=867,"allahabad, utter pardesh, india (map)",hindi (hin),bengali urdu,"60, female",5,academic,usa,30 years,https://accent.gmu.edu/soundtracks/hindi7.mp3,reference/hindi7__867.mp3
hindi,"hindi8,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=910,"imphal, india (map)",hindi (hin),punjabi,"19, male",8,academic,usa,0.75 years,https://accent.gmu.edu/soundtracks/hindi8.mp3,reference/hindi8__910.mp3
hindi,"hindi9,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1017,"durgapur, west bengal, india (map)",hindi (hin),bengali,"31, male",4,academic,usa,8 years,https://accent.gmu.edu/soundtracks/hindi9.mp3,reference/hindi9__1017.mp3
hindi,"hindi10,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1202,"new delhi, india (map)",hindi (hin),french,"19, female",10.5,naturalistic,usa,8 years,https://accent.gmu.edu/soundtracks/hindi10.mp3,reference/hindi10__1202.mp3
hindi,"hindi11,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1437,"chandigarh, india (map)",hindi (hin),punjabi,"20, male",4,academic,usa,7 years,https://accent.gmu.edu/soundtracks/hindi11.mp3,reference/hindi11__1437.mp3
hindi,"hindi12,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1440,"allahabad, india (map)",hindi (hin),none,"25, female",4,academic,usa,4 years,https://accent.gmu.edu/soundtracks/hindi12.mp3,reference/hindi12__1440.mp3
hindi,"hindi13,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1633,"jaipur, india (map)",hindi (hin),rajasthani garhwali,"43, female",13,academic,usa,0.1 years,https://accent.gmu.edu/soundtracks/hindi13.mp3,reference/hindi13__1633.mp3
hindi,"hindi14,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1697,"new delhi, india (map)",hindi (hin),none,"53, male",12,academic,usa,25 years,https://accent.gmu.edu/soundtracks/hindi14.mp3,reference/hindi14__1697.mp3
hindi,"hindi15,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1794,"new delhi, india (map)",hindi (hin),german,"23, female",1,naturalistic,usa,1 years,https://accent.gmu.edu/soundtracks/hindi15.mp3,reference/hindi15__1794.mp3
hindi,"hindi16,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1966,"new delhi, india (map)",hindi (hin),russian,"25, male",5,academic,usa,4 years,https://accent.gmu.edu/soundtracks/hindi16.mp3,reference/hindi16__1966.mp3
hindi,"hindi17,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1988,"new delhi, india (map)",hindi (hin),none,"47, female",3,academic,usa,24 years,https://accent.gmu.edu/soundtracks/hindi17.mp3,reference/hindi17__1988.mp3
hindi,"hindi18,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2125,"new delhi, india (map)",hindi (hin),punjabi gujarati sanskrit,"21, female",5,academic,usa,0.4 years,https://accent.gmu.edu/soundtracks/hindi18.mp3,reference/hindi18__2125.mp3
hindi,"hindi19,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2206,"irving, texas, usa (map)",hindi (hin),german japanese latin old english,"19, male",0,naturalistic,usa,19 years,https://accent.gmu.edu/soundtracks/hindi19.mp3,reference/hindi19__2206.mp3
hindi,"hindi20,",https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2209,"hazaribagh, jharkhand, india (map)",hindi (hin),punjabi kannada,"27, male",4,academic,usa,0.1 years,https://accent.gmu.edu/soundtracks/hindi20.mp3,reference/hindi20__2209.mp3
