model,rank,reference_type,feature,normalization,pearson_r,r_squared,n_valid_frames,n_finite_frames,n_outliers_dropped
seed_vc,top5,style,sF4,reference_phone_gender_zscore,0.04574038570025546,0.002092182884008134,7517,7931,414
seed_vc,top5,style,sB1,reference_phone_gender_zscore,0.06598202177632426,0.004353627197691328,7150,7931,781
seed_vc,top5,style,sB2,reference_phone_gender_zscore,0.05979910481480344,0.0035759329366518476,6931,7931,1000
seed_vc,top5,style,sB3,reference_phone_gender_zscore,0.07002303329530146,0.004903225191874897,7054,7931,877
seed_vc,top5,style,sB4,reference_phone_gender_zscore,-0.01575604040221689,0.000248252809156291,7459,7931,472
seed_vc,top5,style,sF0,reference_phone_gender_zscore,0.17131141162642669,0.029347599753439,7094,7931,837
seed_vc,top5,style,CPP,reference_phone_gender_zscore,0.10311282824510049,0.010632255348703592,5974,6119,145
seed_vc,top5,style,Energy,reference_phone_gender_zscore,0.29245631309048425,0.08553069506647935,5900,7060,1160
seed_vc,bottom5,style,H1H2c,reference_phone_gender_zscore,0.034170260199634074,0.0011676066821106966,6350,6705,355
seed_vc,bottom5,style,H2H4c,reference_phone_gender_zscore,0.017069164462637395,0.00029135637545256335,6314,6705,391
seed_vc,bottom5,style,H42Kc,reference_phone_gender_zscore,-0.06130274370322855,0.003758026385543728,6675,6705,30
seed_vc,bottom5,style,H2KH5Kc,reference_phone_gender_zscore,-0.004747804250650175,2.2541645202491867e-05,6461,6705,244
seed_vc,bottom5,style,HNR05,reference_phone_gender_zscore,0.07566922327178276,0.0057258313505549096,6717,6792,75
seed_vc,bottom5,style,HNR15,reference_phone_gender_zscore,0.04688926371986291,0.0021986030521908523,6640,6792,152
seed_vc,bottom5,style,HNR25,reference_phone_gender_zscore,0.20551992015992432,0.042238437582541664,6583,6792,209
seed_vc,bottom5,style,HNR35,reference_phone_gender_zscore,0.2954546573541562,0.08729345455226185,6685,6792,107
seed_vc,bottom5,style,sF1,reference_phone_gender_zscore,0.13966066338321326,0.019505100896639205,7686,7986,300
seed_vc,bottom5,style,sF2,reference_phone_gender_zscore,0.2424245321456093,0.058769653786017555,7490,7986,496
seed_vc,bottom5,style,sF3,reference_phone_gender_zscore,-0.07864185312667346,0.006184541063197281,6715,7986,1271
seed_vc,bottom5,style,sF4,reference_phone_gender_zscore,0.09790985162369566,0.009586339044974098,7494,7986,492
seed_vc,bottom5,style,sB1,reference_phone_gender_zscore,0.11607687385810429,0.013473840644670255,7121,7986,865
seed_vc,bottom5,style,sB2,reference_phone_gender_zscore,0.09158317075025471,0.00838747716467031,7061,7986,925
seed_vc,bottom5,style,sB3,reference_phone_gender_zscore,0.062377071913341665,0.003890899100482198,7469,7986,517
seed_vc,bottom5,style,sB4,reference_phone_gender_zscore,0.0371726820505529,0.0013818082908314978,7271,7986,715
seed_vc,bottom5,style,sF0,reference_phone_gender_zscore,0.3242879984871212,0.10516270596278313,6876,7986,1110
seed_vc,bottom5,style,CPP,reference_phone_gender_zscore,0.12627076827088177,0.015944306919718723,6646,6792,146
seed_vc,bottom5,style,Energy,reference_phone_gender_zscore,0.36049311243550247,0.12995528411343582,6920,7487,567
