model,rank,feature,median_rti,ci_low,ci_high,output_timbre_pairs
seed_vc,bottom5,HNR15,1.2997621150742096,0.5296745844687593,1.7846965739614769,10
seed_vc,bottom5,HNR25,1.0434345571779753,0.5981839688676616,1.4440312750416209,10
seed_vc,bottom5,HNR35,1.1054197713096916,0.7987362487043081,1.5600481664069696,10
seed_vc,bottom5,sF1,1.2427261384194104,1.0543998775637673,2.187241638615433,10
seed_vc,bottom5,sF2,1.180268379836797,0.9670669039931609,2.138107792692525,10
seed_vc,bottom5,sF3,1.438035903751789,1.0333613229877296,3.6255297968093356,10
seed_vc,bottom5,sF4,0.976570129501554,0.7197157160387112,2.1423276576598758,10
seed_vc,bottom5,sB1,0.9364005555311246,0.6462031437829538,1.4202664243412466,10
seed_vc,bottom5,sB2,0.7009577781411538,0.5111798877893795,0.9983695658951529,10
seed_vc,bottom5,sB3,0.8106119329704464,0.49065266484094144,0.9283091256561117,10
seed_vc,bottom5,sB4,0.6500500465838448,0.5115876946663922,0.8009033622693129,10
seed_vc,bottom5,sF0,0.8738901006702628,0.5329597270851995,1.323873850259855,10
seed_vc,bottom5,CPP,1.1094553288062978,0.5528606286447482,1.4081496684434889,10
seed_vc,bottom5,Energy,1.398577582080196,1.2347764500873106,3.328564054920432,10
