rank,reference_type,model,feature,median,mean,n
top5,style,openvoice,HNR25,2.554091175654006,3.297327675380342,77
top5,style,openvoice,HNR35,3.014027230637563,3.7366440551729445,77
top5,style,openvoice,sB1,1.2558327614820377,1.6504408622103643,80
top5,style,openvoice,sB2,0.8042175239918492,1.1342278043098717,80
top5,style,openvoice,sB3,0.6810315150713613,1.2078712422291715,80
top5,style,openvoice,sB4,1.4320862957124627,2.2901533510071275,80
top5,style,openvoice,sF0,1.4215576083059718,4.138671946806509,80
top5,style,openvoice,sF1,0.9810392679398832,1.6464130817420919,80
top5,style,openvoice,sF2,0.9363407817139504,1.526466015293436,80
top5,style,openvoice,sF3,0.9192529304710959,3.277901657071881,80
top5,style,openvoice,sF4,1.3543487514268029,3.1682282000512805,80
top5,style,seed_vc,CPP,1.7206061042428513,2.442492952212227,78
top5,style,seed_vc,Energy,5.192666570881362,12.376960026290337,80
top5,style,seed_vc,H1H2c,3.0123161708339925,5.505303321259823,78
top5,style,seed_vc,H2H4c,2.401730105795037,4.338713862849368,78
top5,style,seed_vc,H2KH5Kc,1.726016819237529,2.8660031927649903,78
top5,style,seed_vc,H42Kc,2.0111642179560167,2.75204151164617,78
top5,style,seed_vc,HNR05,1.2176146564810855,2.2793387137164367,78
top5,style,seed_vc,HNR15,1.4779917081221452,2.325838593493704,78
top5,style,seed_vc,HNR25,1.7490120624302203,2.6303697224755993,78
top5,style,seed_vc,HNR35,1.9208493296575502,2.664885452814288,78
top5,style,seed_vc,sB1,1.3675155533596368,1.7222426037265346,80
top5,style,seed_vc,sB2,0.9362145443613357,1.58253865034057,80
top5,style,seed_vc,sB3,0.8870344838581061,1.7550835496688735,80
top5,style,seed_vc,sB4,0.9165549045882799,1.754906815814973,80
top5,style,seed_vc,sF0,1.5627425285693821,3.868794211620179,80
top5,style,seed_vc,sF1,1.3436713771106006,2.2135828730075806,80
top5,style,seed_vc,sF2,1.3047797884531467,2.953075655235962,80
top5,style,seed_vc,sF3,1.6327388978625557,3.4535617303440156,80
top5,style,seed_vc,sF4,1.3220817407802747,2.9585982111893547,80
top5,timbre,openvoice,CPP,1.1996872275804442,1.9959958742579782,72
