file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
english249__850,0.0,17.132625,source_wav,-49.613976758610626,,,19.2188536029305
english137__509,0.0,19.955625,source_wav,-48.56017112349699,,,21.92407708583621
